0-249		m
0-499		y
0-749		y
0-999		y
0-1249		m
0-1499		m
0-1749		n
0-1999		n
0-2249		m
0-2499		m
0-2749		m
0-2999		n
0-3249		n
0-3499		n
0-3749		m
0-3999		n
0-4249		n
0-4499		n
0-4749		n
0-4999		n
0-5249		n
0-5499		n
0-5749		n
0-5999		n
250-249		m
250-499		n
250-749		m
250-999		m
250-1249		m
250-1499		y
250-1749		n
250-1999		m
250-2249		n
250-2499		y
250-2749		n
250-2999		n
250-3249		m
250-3499		n
250-3749		y
250-3999		n
250-4249		n
250-4499		n
250-4749		y
250-4999		n
250-5249		n
250-5499		m
250-5749		n
250-5999		n
500-249		m
500-499		n
500-749		n
500-999		m
500-1249		n
500-1499		y
500-1749		n
500-1999		m
500-2249		m
500-2499		y
500-2749		m
500-2999		y
500-3249		n
500-3499		y
500-3749		n
500-3999		n
500-4249		n
500-4499		n
500-4749		n
500-4999		m
500-5249		n
500-5499		n
500-5749		y
500-5999		n
750-249		y
750-499		y
750-749		n
750-999		n
750-1249		n
750-1499		n
750-1749		n
750-1999		m
750-2249		n
750-2499		m
750-2749		m
750-2999		y
750-3249		y
750-3499		n
750-3749		n
750-3999		n
750-4249		n
750-4499		n
750-4749		n
750-4999		m
750-5249		y
750-5499		n
750-5749		y
750-5999		y
1000-249		m
1000-499		n
1000-749		m
1000-999		n
1000-1249		m
1000-1499		n
1000-1749		n
1000-1999		y
1000-2249		m
1000-2499		n
1000-2749		n
1000-2999		n
1000-3249		m
1000-3499		n
1000-3749		n
1000-3999		n
1000-4249		n
1000-4499		m
1000-4749		n
1000-4999		n
1000-5249		n
1000-5499		n
1000-5749		y
1000-5999		n
1250-249		n
1250-499		n
1250-749		n
1250-999		n
1250-1249		n
1250-1499		n
1250-1749		n
1250-1999		n
1250-2249		n
1250-2499		n
1250-2749		n
1250-2999		n
1250-3249		n
1250-3499		n
1250-3749		n
1250-3999		y
1250-4249		n
1250-4499		n
1250-4749		n
1250-4999		n
1250-5249		n
1250-5499		n
1250-5749		n
1250-5999		n
1500-249		n
1500-499		n
1500-749		n
1500-999		m
1500-1249		y
1500-1499		y
1500-1749		n
1500-1999		n
1500-2249		n
1500-2499		n
1500-2749		m
1500-2999		n
1500-3249		m
1500-3499		n
1500-3749		n
1500-3999		n
1500-4249		n
1500-4499		n
1500-4749		n
1500-4999		n
1500-5249		n
1500-5499		n
1500-5749		n
1500-5999		y
1750-249		n
1750-499		n
1750-749		y
1750-999		n
1750-1249		n
1750-1499		n
1750-1749		n
1750-1999		n
1750-2249		y
1750-2499		n
1750-2749		n
1750-2999		n
1750-3249		n
1750-3499		n
1750-3749		n
1750-3999		n
1750-4249		n
1750-4499		n
1750-4749		y
1750-4999		y
1750-5249		n
1750-5499		y
1750-5749		n
1750-5999		n
2000-249		n
2000-499		n
2000-749		n
2000-999		n
2000-1249		n
2000-1499		n
2000-1749		n
2000-1999		n
2000-2249		n
2000-2499		m
2000-2749		n
2000-2999		n
2000-3249		n
2000-3499		n
2000-3749		n
2000-3999		n
2000-4249		n
2000-4499		n
2000-4749		n
2000-4999		n
2000-5249		n
2000-5499		n
2000-5749		n
2000-5999		n
2250-249		n
2250-499		n
2250-749		n
2250-999		n
2250-1249		y
2250-1499		y
2250-1749		n
2250-1999		n
2250-2249		n
2250-2499		n
2250-2749		n
2250-2999		n
2250-3249		n
2250-3499		n
2250-3749		n
2250-3999		n
2250-4249		n
2250-4499		n
2250-4749		n
2250-4999		n
2250-5249		m
2250-5499		n
2250-5749		n
2250-5999		n
2500-249		y
2500-499		n
2500-749		n
2500-999		n
2500-1249		m
2500-1499		n
2500-1749		m
2500-1999		n
2500-2249		n
2500-2499		n
2500-2749		n
2500-2999		n
2500-3249		n
2500-3499		n
2500-3749		y
2500-3999		n
2500-4249		n
2500-4499		n
2500-4749		n
2500-4999		n
2500-5249		n
2500-5499		y
2500-5749		n
2500-5999		n
2750-249		n
2750-499		n
2750-749		n
2750-999		n
2750-1249		n
2750-1499		n
2750-1749		n
2750-1999		n
2750-2249		n
2750-2499		n
2750-2749		n
2750-2999		n
2750-3249		n
2750-3499		n
2750-3749		n
2750-3999		n
2750-4249		n
2750-4499		n
2750-4749		n
2750-4999		n
2750-5249		n
2750-5499		n
2750-5749		n
2750-5999		n
3000-249		m
3000-499		n
3000-749		m
3000-999		n
3000-1249		y
3000-1499		n
3000-1749		n
3000-1999		n
3000-2249		n
3000-2499		n
3000-2749		n
3000-2999		n
3000-3249		n
3000-3499		n
3000-3749		n
3000-3999		n
3000-4249		n
3000-4499		n
3000-4749		n
3000-4999		n
3000-5249		n
3000-5499		n
3000-5749		n
3000-5999		n
3250-249		n
3250-499		y
3250-749		n
3250-999		n
3250-1249		n
3250-1499		n
3250-1749		n
3250-1999		n
3250-2249		n
3250-2499		n
3250-2749		n
3250-2999		n
3250-3249		n
3250-3499		n
3250-3749		n
3250-3999		n
3250-4249		n
3250-4499		n
3250-4749		n
3250-4999		n
3250-5249		n
3250-5499		n
3250-5749		n
3250-5999		n
3500-249		n
3500-499		n
3500-749		n
3500-999		n
3500-1249		n
3500-1499		n
3500-1749		m
3500-1999		m
3500-2249		n
3500-2499		n
3500-2749		n
3500-2999		n
3500-3249		n
3500-3499		n
3500-3749		y
3500-3999		n
3500-4249		n
3500-4499		n
3500-4749		n
3500-4999		n
3500-5249		n
3500-5499		n
3500-5749		n
3500-5999		m
3750-249		n
3750-499		m
3750-749		n
3750-999		n
3750-1249		n
3750-1499		n
3750-1749		n
3750-1999		n
3750-2249		n
3750-2499		n
3750-2749		n
3750-2999		n
3750-3249		n
3750-3499		n
3750-3749		n
3750-3999		n
3750-4249		n
3750-4499		n
3750-4749		n
3750-4999		y
3750-5249		n
3750-5499		n
3750-5749		n
3750-5999		n
4000-249		n
4000-499		n
4000-749		n
4000-999		n
4000-1249		n
4000-1499		m
4000-1749		y
4000-1999		n
4000-2249		n
